기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
셀트리온(2022/12),22840.0,6472.0,6472.0,6262.0,5426.0,5378.0,47.0,58917.0,16174.0,42742.0,41394.0,1348.0,1408.0,9.0,-2971.0,-3502.0,1112.0,-1103.0,7923.0,28.34,23.76,13.35,9.38,37.84,3093.79,3508.0,43.69,27532.0,5.57,344.0,0.22,9.61,153358243.0
셀트리온(2023/12),21764.0,6515.0,6515.0,6711.0,5397.0,5356.0,41.0,199568.0,28310.0,171258.0,169807.0,1451.0,2203.0,5372.0,-1389.0,-3851.0,2100.0,3271.0,18904.0,29.93,24.8,5.07,4.18,16.53,8513.18,3472.0,55.43,76534.0,2.51,477.0,0.25,19.34,230892616.0
셀트리온(2024/12),35573.0,4920.0,4920.0,5761.0,4189.0,4227.0,-38.0,210552.0,34752.0,175801.0,174391.0,1409.0,2205.0,9019.0,-1694.0,-3530.0,1351.0,7668.0,21927.0,13.83,11.77,2.46,2.04,19.77,8422.3,1855.0,101.06,80939.0,2.32,716.0,0.38,36.38,227526065.0
셀트리온(2025/12)(예측),44771.0,12848.0,,13176.0,10299.0,10357.0,,218314.0,37282.0,181032.0,181313.0,,2225.0,10531.0,-1974.0,-906.0,1213.0,7457.0,,28.7,23.0,5.82,4.8,20.59,,4637.0,35.37,84978.0,1.93,606.0,0.37,13.06,
셀트리온(2026/12)(예측),54316.0,17460.0,,17901.0,13956.0,14031.0,,235248.0,41070.0,194178.0,194786.0,,2252.0,13759.0,-2640.0,-305.0,1438.0,10683.0,,32.15,25.69,7.46,6.15,21.15,,6292.0,26.06,91292.0,1.8,611.0,0.37,9.72,
셀트리온(2027/12)(예측),62879.0,20576.0,,20756.0,16176.0,16293.0,,255942.0,43178.0,212764.0,213766.0,,2337.0,13774.0,-3502.0,-349.0,1758.0,9914.0,,32.72,25.73,7.98,6.59,20.29,,7307.0,22.45,100188.0,1.64,734.0,0.45,10.06,
기아(2020/12),591681.0,20665.0,20665.0,18414.0,14876.0,14876.0,,604904.0,305988.0,298917.0,298917.0,,21393.0,54239.0,-28649.0,35173.0,16619.0,37620.0,104273.0,3.49,2.51,5.05,2.57,102.37,1350.39,3670.0,17.0,74556.0,0.84,1000.0,1.6,26.95,405363347.0
기아(2021/12),698624.0,50657.0,50657.0,63938.0,47603.0,47604.0,-1.0,668500.0,319374.0,349126.0,349104.0,21.0,21393.0,73597.0,-44239.0,-16205.0,13195.0,60401.0,96163.0,7.25,6.81,14.69,7.48,91.48,1561.65,11744.0,7.0,87073.0,0.94,3000.0,3.65,25.27,405363347.0
기아(2022/12),865590.0,72331.0,72331.0,75020.0,54090.0,54094.0,-5.0,737110.0,343679.0,393431.0,393379.0,51.0,21393.0,93332.0,-56713.0,-34544.0,14946.0,78386.0,77454.0,8.36,6.25,14.57,7.7,87.35,1778.98,13345.0,4.44,98117.0,0.6,3500.0,5.9,25.94,405363347.0
기아(2023/12),998084.0,116079.0,116079.0,126773.0,87778.0,87770.0,8.0,806278.0,340696.0,465582.0,465524.0,59.0,21393.0,112965.0,-31068.0,-55963.0,23352.0,89614.0,41276.0,11.63,8.79,20.44,11.38,73.18,2104.83,21770.0,4.59,117495.0,0.85,5600.0,5.6,25.0,402044203.0
기아(2024/12),1074488.0,126671.0,126671.0,135002.0,97750.0,97730.0,20.0,927559.0,369156.0,558403.0,558312.0,91.0,21393.0,125644.0,-101528.0,-35700.0,34851.0,90792.0,35965.0,11.79,9.1,19.09,11.28,66.11,2430.74,24413.0,4.12,141812.0,0.71,6500.0,6.45,26.18,397672632.0
기아(2025/12)(예측),1133697.0,119126.0,,129920.0,94623.0,94617.0,,1000870.0,376870.0,624000.0,624587.0,,21386.0,115562.0,-53112.0,-25443.0,33035.0,74010.0,,10.51,8.35,16.0,9.81,60.4,,23793.0,3.81,159484.0,0.57,6476.0,7.15,27.22,
기아(2026/12)(예측),1177570.0,118876.0,,131445.0,95609.0,95606.0,,1081716.0,387160.0,694556.0,693753.0,,21386.0,123612.0,-53896.0,-24414.0,32460.0,83059.0,,10.1,8.12,14.5,9.18,55.74,,24041.0,3.77,177145.0,0.51,6591.0,7.28,27.42,
기아(2027/12)(예측),1222496.0,121372.0,,134059.0,97571.0,97572.0,,1166418.0,400457.0,765961.0,762586.0,,21391.0,128885.0,-58676.0,-21648.0,31461.0,88190.0,,9.93,7.98,13.4,8.68,52.28,,24536.0,3.69,194721.0,0.47,6640.0,7.33,27.06,
HD현대중공업(2020/12),83120.0,325.0,325.0,-5401.0,-4314.0,-4314.0,,137997.0,84389.0,53608.0,53608.0,,3539.0,-2000.0,-2010.0,7302.0,2262.0,-4262.0,45630.0,0.39,-5.19,-7.86,-3.12,157.42,1168.48,-6096.0,,75746.0,0.0,0.0,,0.0,70773116.0
HD현대중공업(2021/12),83113.0,-8003.0,-8003.0,-11114.0,-8142.0,-8142.0,,150787.0,94846.0,55940.0,55940.0,,4439.0,7621.0,1517.0,-926.0,2440.0,5181.0,34846.0,-9.63,-9.8,-14.87,-5.64,169.55,962.02,-10665.0,,63015.0,1.51,0.0,0.0,0.0,88773116.0
HD현대중공업(2022/12),90455.0,-2892.0,-2892.0,-4215.0,-3521.0,-3521.0,,162894.0,110016.0,52878.0,52878.0,,4439.0,712.0,-5179.0,-9328.0,4845.0,-4133.0,26481.0,-3.2,-3.89,-6.47,-2.25,208.06,893.01,-3966.0,,59566.0,1.95,0.0,0.0,0.0,88773116.0
HD현대중공업(2023/12),119639.0,1786.0,1786.0,344.0,247.0,247.0,0.0,171336.0,119262.0,52074.0,52074.0,0.0,4439.0,1688.0,-4779.0,5028.0,4782.0,-3094.0,31681.0,1.49,0.21,0.47,0.15,229.02,877.76,278.0,463.89,58660.0,2.2,0.0,0.0,0.0,88773116.0
HD현대중공업(2024/12),144865.0,7052.0,7052.0,7981.0,6215.0,6215.0,0.0,193909.0,136865.0,57044.0,57044.0,0.0,4439.0,28839.0,-4991.0,-20488.0,4635.0,24204.0,11842.0,4.87,4.29,11.39,3.4,239.93,993.74,7001.0,41.06,64259.0,4.47,2090.0,0.73,29.85,88773116.0
HD현대중공업(2025/12)(예측),162275.0,18110.0,,16076.0,12426.0,12494.0,,208462.0,141843.0,66619.0,66448.0,,4440.0,16947.0,-4851.0,-6167.0,3869.0,14964.0,,11.16,7.66,20.23,6.18,212.92,,14074.0,28.67,74852.0,5.39,3338.0,0.83,23.72,
HD현대중공업(2026/12)(예측),179223.0,23197.0,,21961.0,17126.0,17073.0,,227414.0,147323.0,80090.0,79758.0,,4440.0,20931.0,-5963.0,-7224.0,4104.0,17110.0,,12.94,9.55,23.35,7.86,183.95,,19232.0,20.98,89845.0,4.49,4047.0,1.0,21.04,
HD현대중공업(2027/12)(예측),194094.0,28313.0,,27988.0,21988.0,21935.0,,249730.0,152264.0,97467.0,96708.0,,4440.0,24714.0,-5861.0,-7931.0,4286.0,20270.0,,14.59,11.33,24.86,9.22,156.22,,24709.0,16.33,108939.0,3.7,5031.0,1.25,20.36,
KB금융(2020/12),556802.0,46343.0,46343.0,47800.0,35156.0,34684.0,471.0,6107199.0,5673176.0,434024.0,425446.0,8578.0,20906.0,-115407.0,-109884.0,252623.0,4249.0,,950735.0,8.32,6.31,8.56,0.62,1307.11,2030.46,8341.0,5.2,109191.0,0.4,1770.0,4.08,19.88,415807920.0
