기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
LG생활건강,68718.5,5103.5,1995.0,73268.16666666667,56040.5,886.0,5663.833333333333,4099.666666666667,7.406666666666666,2.895,3.3383333333333334,2.725,30.755,10248.5,37.983333333333334,327294.3333333333,1.2016666666666669,15618197.0
LG에너지솔루션,310298.6666666667,13955.0,13519.333333333334,430578.6666666667,231136.0,1170.0,27695.333333333332,99913.0,4.5200000000000005,4.25,6.1499999999999995,3.4433333333333334,86.27333333333333,4626.333333333333,97.83,84236.0,5.113333333333333,234000000.0
LG유플러스,144211.33333333334,9444.333333333334,4778.0,198498.5,87114.16666666667,25740.0,32434.833333333332,72176.0,6.56,3.328333333333333,6.091666666666668,2.4066666666666667,127.89833333333335,1157.5,9.623333333333333,19689.333333333332,0.53,436611361.0
LG이노텍,207337.33333333334,8419.0,5763.5,110561.33333333333,49594.5,1183.0,15089.166666666666,25950.333333333332,4.09,2.8066666666666666,12.964999999999998,5.646666666666666,123.74166666666667,24352.0,8.624999999999998,209572.16666666666,0.9933333333333333,23667107.0
LG전자,851962.1666666666,35194.5,9897.5,620877.5,241873.5,9042.0,44105.166666666664,144827.0,4.138333333333333,1.1733333333333331,3.236666666666667,1.705,156.48000000000002,3432.6666666666665,31.330000000000002,112279.33333333333,0.8066666666666666,163647814.0
LG화학,513718.6666666667,8324.0,13078.833333333334,840801.0,438906.6666666667,3914.0,61133.0,241582.66666666666,1.515,2.4833333333333334,1.5016666666666667,1.8549999999999998,91.08333333333333,5213.166666666667,-0.1893059490084994,416668.0,0.9466666666666667,70592343.0
LIG넥스원,27778.166666666668,2068.8333333333335,1871.1666666666667,48367.0,11253.666666666666,1100.0,7078.0,3632.8333333333335,7.538333333333334,6.755,18.078333333333333,4.62,322.0566666666667,8621.333333333334,19.16,51021.833333333336,3.2433333333333336,22000000.0
LS,248478.0,9377.666666666666,5271.5,192221.83333333334,66731.16666666667,1610.0,6273.666666666667,80654.16666666667,3.7350000000000008,2.2933333333333334,9.116666666666667,3.025,188.0566666666667,12304.333333333334,9.159999999999998,167689.16666666666,0.5333333333333333,32200000.0
LS ELECTRIC,42489.166666666664,3344.0,2055.3333333333335,40407.0,17779.333333333332,1500.0,1623.5,11594.666666666666,7.765000000000001,4.746666666666667,11.915,5.41,126.56833333333334,6768.5,16.781666666666666,59222.166666666664,1.8950000000000002,30000000.0
LX인터내셔널,162835.16666666666,5498.833333333333,3291.0,84170.5,31908.833333333332,1938.0,7451.0,26241.333333333332,3.3216666666666668,1.9450000000000003,9.538333333333334,4.205,163.55333333333334,5489.0,6.653333333333333,68516.16666666667,0.43166666666666664,38760000.0
NAVER,99624.0,17033.666666666668,14065.333333333334,366463.8333333333,254881.66666666666,165.0,22045.833333333332,46423.333333333336,16.99,13.756666666666666,5.968333333333334,3.8900000000000006,43.92333333333334,8788.833333333334,26.816666666666663,162128.33333333334,1.2583333333333333,160696216.16666666
NH투자증권,103454.5,7793.833333333333,5781.166666666667,590175.6666666666,78021.83333333333,17826.0,-13782.166666666666,161039.16666666666,7.596666666666667,5.646666666666666,7.585000000000001,1.0016666666666667,655.8683333333333,1664.0,7.358333333333333,22430.5,0.5216666666666666,329579110.0
OCI홀딩스,31334.166666666668,3532.1666666666665,4399.166666666667,71566.33333333333,43579.5,1103.5,3773.6666666666665,18021.833333333332,12.631666666666668,15.81,11.701666666666668,6.89,63.76333333333333,20654.833333333332,7.223333333333334,197089.5,0.4083333333333334,20142810.0
