기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
삼성전자,2810628.45,314793.45,339649.05,4598377.2,3558568.1,8975.0,616599.0,111215.9,158177.3,11.0595,11.8675,10.246500000000001,7.7425,29.696000000000005,4879.8,17.948500000000003,51040.45,1.3475,5969782550.0
삼성전자우,2810628.45,314793.45,339649.05,4598377.2,3558568.1,8975.0,616599.0,111215.9,158177.3,11.0595,11.8675,10.246500000000001,7.7425,29.696000000000005,4879.8,17.948500000000003,51040.45,1.3475,5969782550.0
서플러스글로벌,2075.1,200.5,133.85,3592.65,1802.35,37.0,16.85,-187.55,1317.3,9.8275,6.569000000000001,8.202000000000002,4.6075,97.5485,358.1,14.902000000000001,5136.7,0.6645,36988000.0
성우테크론,402.15,23.75,25.75,926.45,671.05,49.5,54.2,31.65,130.5,5.439,5.955,4.247,2.992,38.299499999999995,249.2,-2.133163366336633,6626.35,0.5735,10347365.0
시그네틱스,1999.9,-82.65,-188.0,1525.95,1056.6,429.0,49.75,-38.85,128.25,-7.6125,-15.393,-19.097,-13.908999999999997,45.4145,-219.5,1.9018274951348348,1232.75,1.0115,85728319.0
신성이엔지,5680.5,97.6,27.3,5578.8,2244.9,1026.6,69.45,-91.6,1880.55,1.6735,0.16700000000000018,1.2175,0.398,148.19150000000002,13.35,-5.533843137254903,1107.4,1.6975000000000002,205162174.5
싸이맥스,1813.35,201.95,150.6,2186.15,1590.75,55.0,185.1,165.25,265.7,10.895,8.315000000000001,10.1985,7.264000000000001,37.951,1361.35,11.041,15419.5,0.9109999999999999,10924243.0
씨앤지하이테크,1527.25,144.1,103.8,1571.55,1015.0,45.0,96.9,16.6,168.35,9.2,6.592499999999999,10.927843683083513,7.244373949579833,54.9755,1169.2,12.004,11444.65,1.0630000000000002,9113277.15
아이앤씨,377.5,-34.65,-48.1,613.3,403.55,88.9,4.2,0.65,146.55,-16.0875,-20.219,-12.475,-7.904999999999999,53.6315,-274.6,-35.10051368781433,2336.9,1.159,17845974.0
아이텍,612.55,-23.95,59.8,1966.85,1398.9,100.15,73.75,-18.85,325.45,-4.312,7.258000000000001,4.29,2.7345000000000006,42.650999999999996,315.9,-7.055839939890481,6857.1,1.0524999999999998,20076829.05
아진엑스텍,294.25,-2.15,3.8,480.6,425.2,51.0,5.05,-4.3,11.05,-2.6060000000000008,0.1375000000000007,0.7349999999999998,0.6169999999999998,13.045999999999998,37.35,61.52672602739726,4609.1,1.8305,9748596.0
알에프세미,296.45,-109.55,-178.9,518.2,221.95,71.15,-11.85,-15.0,203.65,-36.17,-61.746,-71.905,-30.4185,122.0395,-1453.65,-7.329113150213503,1877.9,2.936,14257920.7
알파홀딩스,811.15,-32.1,-209.85,844.9,489.0,181.0,-9.2,-51.25,158.25,-4.174999999999999,-24.976999999999997,-39.5015,-22.846,69.3435,-733.25,-4.685650597635404,1711.85,1.0545,35896148.7
어보브반도체,2157.95,43.8,-77.85,2603.85,1430.5,88.5,199.5,90.0,872.7,2.6949999999999994,-2.6925000000000003,3.4889999999999994,-0.8544999999999995,78.23700000000001,207.95,17.555273371104814,6721.05,1.7009999999999998,17700478.0
에스앤에스텍,1386.35,212.9,218.9,2468.7,2099.3,107.0,247.5,32.35,115.55,14.959,15.2965,10.66719300911854,9.097397849462364,17.279,1024.65,39.6395,10033.95,3.5139999999999993,21451447.0
에스티아이,3393.9,265.05,246.65,3303.5,2280.55,79.0,201.65,129.0,88.1,7.744999999999999,7.226000000000001,11.314,7.655499999999999,45.686499999999995,1560.25,13.975999999999999,15396.0,1.318,15830000.0
에이디테크놀로지,1673.95,-55.1,-49.85,2498.0,1496.7,66.9,85.55,-69.6,546.8,-7.590000000000001,-6.852500000000001,-3.1160000000000005,-1.6174999999999997,68.5975,-329.3,8.116781500045349,11364.15,1.95,13382813.85
에이팩트,761.95,-100.05,-176.9,1744.0,814.0,181.6,55.55,-55.85,795.6,-9.709999999999999,-18.958499999999997,-21.4745,-8.931000000000001,122.9215,-395.75,10.621934004859478,2207.75,1.452,38448335.45
에프에스티,2132.15,51.2,92.55,4072.95,2270.35,108.2,62.0,-440.65,1390.15,2.584,4.327500000000001,7.112499999999999,3.38,78.55799999999999,581.2,68.50286547811993,11411.9,1.8805,21802653.6
엑사이엔씨,2064.15,47.6,30.8,1586.3,749.75,166.0,50.5,25.9,363.05,2.337,1.4495,4.042,1.9685,112.779,77.1,-15.252547641073079,1875.7,0.577,33173548.0
엑시콘,649.65,-5.6,101.65,1674.45,1481.85,56.8,10.8,-53.85,81.4,-9.744499999999999,13.046499999999998,8.617,7.245500000000002,13.584000000000003,911.1,-14.975357142857144,12982.0,1.0305,11755557.95
엔시트론,282.75,-8.75,-12.05,416.1,316.8,254.75,-5.25,-11.6,65.15,-3.9199999999999995,-8.331999999999999,-5.557,-3.345999999999999,36.316500000000005,-33.25,-39.124143268422074,610.3,1.1484999999999999,50960052.75
엔투텍,189.95,-17.05,-79.7,1066.55,924.05,98.1,-11.0,-27.5,33.9,-14.068000000000001,-44.91250000000001,-11.9725,-7.9319999999999995,17.6675,-110.05,23.484861357877257,934.45,0.962,97854041.95
엘오티베큠,3289.5,258.8,212.2,3208.55,2295.75,88.4,295.85,227.2,311.8,6.4385,5.534000000000001,10.3275,6.783999999999999,40.1125,1251.85,40.3295,13969.25,1.068,17682939.0
엘티씨,1765.55,46.1,-40.75,2674.1,1235.4,44.25,75.15,7.3,967.95,-1.0684999999999998,-6.705000000000001,-6.524000000000001,-1.948,126.3185,-638.25,5.157001603456143,10697.7,1.0879999999999999,8877864.25
엠케이전자,10663.5,718.9,53.5,22312.0,9676.5,109.55,581.45,386.7,3664.15,7.0145,0.9925,-2.9425,0.37649999999999995,131.201,-516.0,-5.10169720928909,17676.25,0.621,21949942.1
예스티,826.5,-17.05,-80.55,2004.8,928.05,93.65,-2.15,-58.0,728.75,-3.4265,-11.4345,-11.035,-4.165000000000001,125.94200000000001,-445.55,37.750772465374894,4921.15,2.4519999999999995,18738508.65
오디텍,391.85,-31.55,27.45,1376.0,1244.5,59.0,35.5,-12.6,61.55,-8.715,7.1545000000000005,2.2275,2.0325,10.5575,232.7,8.053971014492754,11729.65,0.3845,11746609.0
오킨스전자,604.55,14.85,-4.75,829.4,322.9,83.6,86.95,-25.1,399.1,2.3895,-0.5409999999999997,-1.7224999999999995,-0.3365,159.915,-26.1,142.444362745098,1844.0,6.658500000000001,17679298.0
와이씨,2481.05,232.8,236.6,4931.3,3601.25,81.9,141.9,-299.35,792.35,8.9755,9.1505,7.968999999999999,5.743,36.499,253.35,36.2205,3683.8,1.7475,81916580.7
원익IPS,8932.7,568.5,522.6,11178.95,8433.15,245.0,691.2,133.3,58.8,4.986000000000001,4.773000000000001,7.027000000000001,4.720000000000001,33.536500000000004,1065.4,-7.920136363636365,17423.3,1.823,49083901.0
원익QnC,7717.4,880.9,537.65,12495.45,4794.0,131.0,825.0,-298.25,5798.9,11.432,6.9375,13.459999999999999,4.7985,158.07850000000002,1786.0,14.078,14686.75,1.6934999999999998,26288000.0
원익홀딩스,7220.1,638.75,339.8,18515.2,12875.55,386.0,859.9,166.1,3932.95,8.708000000000002,4.184500000000001,1.9094999999999995,2.0,43.950500000000005,203.25,-1.6109968514527637,13056.95,0.286,77237981.0
월덱스,2593.3,570.55,484.4,2971.4,2216.95,83.0,420.75,275.55,478.45,21.942,18.312,24.661,17.700499999999998,36.952,2935.75,8.1855,13433.2,1.8035,16510993.0
